"Gene","BetaScore"
"Lhx6",0.97312854417266
"Gad2",0.972506992953636
"Slc32a1",0.970618093867658
"Neurod2",0.952022423052305
"Slc6a1",0.94377156469506
"Gad1",0.943763724128411
"Adarb2",0.942025092757986
"Sv2b",0.938735125760092
"Nrn1",0.938147470416696
"Slc17a7",0.929759453046026
"Fezf2",0.92280268796903
"Dlx1",0.893629265035411
"Prox1",0.890908774700178
"Tbr1",0.880823845985493
"Nfix",0.880742079114903
"Neurod6",0.874309029410693
"Satb2",0.871379654194627
"Meis2",0.866801207286823
"Nxph1",0.863774650547716
"Kcnip1",0.86195263016744
"Erbb4",0.856972035575147
"Dlx5",0.856282901286374
"9130024F11Rik",0.847386130610562
"Rtn4rl2",0.847014436385831
"Zfp536",0.843441439904937
"Nfib",0.840131778054113
"Nr2f2",0.837966632975251
"Crym",0.835451378656754
"Mpped1",0.834311073966109
"Dlx1as",0.834199155020649
"Dlx6os1",0.832147174950932
"Cxcl14",0.827389044749306
"Rprml",0.823194120171543
"Pdlim1",0.818727328014282
"Itpka",0.803539587843427
"Sp8",0.796493043315736
"Crhbp",0.791508935794999
"Fam19a1",0.786897926944023
"Igf1",0.784730597400767
"Npas1",0.777445847277788
"Ptprm",0.776729680551346
"3110035E14Rik",0.776004747599401
"Asic4",0.771253576324443
"Hs3st2",0.770804205148121
"Elfn1",0.769960501920664
"Synpr",0.765831134022166
"Cacna2d1",0.764919529554249
"Pde1a",0.764583970364124
"Rtn4r",0.760099786898752
"Arpp21",0.759042377434589
"Lypd6",0.756900923239934
"Chodl",0.755503378721397
"Moxd1",0.752569912703885
"Hs3st4",0.751260548183251
"Arhgap25",0.748903922043281
"Foxp2",0.748887404940743
"LOC102632463",0.748156671268696
"Calb1",0.74366771903
"Emx1",0.743566903835859
"Npas3",0.742721119285568
"Gda",0.742249679410301
"Caln1",0.740691747314593
"Atp6ap1l",0.739514552073362
"Nptx1",0.73785189306127
"Sema3c",0.737694016090614
"Ipcef1",0.737592757298612
"Cckbr",0.737416391438591
"Slc30a3",0.737347283990838
"A530058N18Rik",0.733689281928737
"Sez6",0.732890241433512
"Galntl6",0.732484922431029
"Crh",0.731943021568751
"Egr3",0.731804467325283
"Pcdh8",0.731076296760533
"Stxbp6",0.730594822679346
"Cacna2d3",0.729964549217307
"Lamp5",0.727038024127151
"Tmem163",0.726895806998734
"Clic5",0.726499966882017
"Klf10",0.725930714252711
"Nxph4",0.724800171826957
"Nefl",0.723239700221082
"Ano3",0.722695309312272
"Sncg",0.721800008226282
"Htr3a",0.721614608597889
"Pthlh",0.720550503645445
"Lzts1",0.719823475548372
"Grik1",0.7192970518058
"Tnfaip8l3",0.71872700037119
"Fam135b",0.718408064224358
"Kcnv1",0.71761591042048
"Rasgef1b",0.716961791376982
"Fam212b",0.714844880623885
"Pnoc",0.714410153959139
"Tmem44",0.713882072639596
"Btbd11",0.713583597666789
"Tmem132c",0.712526138972914
"Rpp25",0.712458987129207
"Cplx3",0.711620346557795
"Lhx2",0.711320081726084
"Sorcs3",0.710818096082445
"Cpne7",0.710108003292964
"Nov",0.70919180598815
"Cobl",0.708935356854689
"Sst",0.708697764015211
"Ptk2b",0.706973011935998
"LOC102634132",0.706487583931171
"Grin3a",0.705848665340258
"Bhlhe22",0.704711571788568
"B3gat1",0.704575777217317
"Chst8",0.704342912029762
"Kctd8",0.703285804400598
"Atp2b4",0.702201618918152
"Rprm",0.70208904435595
"Lgals1",0.701866412736158
"Sox2ot",0.701277071224098
"Pcp4l1",0.700740937786341
"Kit",0.700464305497863
"Igfbp6",0.699701256594762
"LOC105243425",0.699045632841355
"LOC105246064",0.698318769247651
"Gpr88",0.697292387894447
"Tox",0.697044178298169
"Kcns3",0.696919200145386
"Grik3",0.69636079236529
"Kcnmb2",0.694437628975804
"Adora1",0.693971759522296
"Adcy2",0.692637138849274
"Ptprk",0.690599050301658
"Scube1",0.689504896911653
"LOC102634502",0.688802973746096
"Sox5",0.6865736160307
"Tac1",0.68641707507395
"Rasgrp1",0.6846666581566
"Itpr1",0.681447992342676
"C1ql3",0.680896399480969
"Calb2",0.680667745928329
"Rasal1",0.678210813334539
"Cntnap5c",0.677680869735346
"Kcnc2",0.677510036199779
"Islr2",0.677407809668645
"Dlx2",0.67725861866194
"Fxyd7",0.677254961490888
"Cnr1",0.676424972796445
"Gfra2",0.676374782758602
"Kcnip3",0.676207378756077
"LOC102633357",0.675067771349707
"Lypd6b",0.674399968608007
"Tcf4",0.673751004547852
"Cbln2",0.673184937681255
"Bcl11b",0.673084989086508
"Ngf",0.672461783074641
"Galnt14",0.671969806285089
"Necab1",0.671074785647498
"Unc13c",0.671044805058571
"Ubash3b",0.670321702845458
"Teddm3",0.670159892598663
"Thsd7a",0.668562462635096
"BC030500",0.667743199216287
"Nxph3",0.66738445522425
"Cort",0.667281399054934
"Cadps2",0.667001158551526
"Bmp3",0.666938334026206
