"x","y","pch","cex","col","members","midpoint","height","leaf","label","parent"
73,0,19,0.5,"#D9C566",1,NA,0,TRUE,"Sst Tac2 Myh4","n94"
74.5,0.0601280085636064,NA,NA,NA,2,0.5,0.0601280085636064,NA,"n107","n91"
74,0,19,0.5,"#BF9F00",1,NA,0,TRUE,"Sst Hpse Sema3c","n107"
75,0,19,0.5,"#806B19",1,NA,0,TRUE,"Sst Hpse Cbln4","n107"
77.25,0.0609470647730707,NA,NA,NA,3,1.25,0.0609470647730707,NA,"n98","n91"
76.5,0.0407820295634896,NA,NA,NA,2,0.5,0.0407820295634896,NA,"n99","n98"
76,0,19,0.5,"#B95541",1,NA,0,TRUE,"Sst Crhr2 Efemp1","n99"
77,0,19,0.5,"#B95541",1,NA,0,TRUE,"Sst Crh 4930553C11Rik ","n99"
78,0,19,0.5,"#C11331",1,NA,0,TRUE,"Sst Esm1","n98"
79.75,0.0636959913082729,NA,NA,NA,3,0.75,0.0636959913082729,NA,"n100","n91"
79,0,19,0.5,"#BF8219",1,NA,0,TRUE,"Sst Tac2 Tacstd2","n100"
80.5,0.0594738957313365,NA,NA,NA,2,0.5,0.0594738957313365,NA,"n101","n100"
80,0,19,0.5,"#994C00",1,NA,0,TRUE,"Sst Rxfp1 Eya1","n101"
81,0,19,0.5,"#802600",1,NA,0,TRUE,"Sst Rxfp1 Prdm8","n101"
82,0,19,0.5,"#A81111",1,NA,0,TRUE,"Sst Nts","n90"
88.859375,0.15167952459332,NA,NA,NA,10,5.859375,0.15167952459332,NA,"n109","n89"
85.71875,0.122027850771561,NA,NA,NA,9,2.71875,0.122027850771561,NA,"n110","n109"
83.5,0.0892995070585852,NA,NA,NA,2,0.5,0.0892995070585852,NA,"n117","n110"
83,0,19,0.5,"#ED4C50",1,NA,0,TRUE,"Pvalb Gabrg1","n117"
84,0,19,0.5,"#FF2F7E",1,NA,0,TRUE,"Pvalb Th Sst","n117"
87.9375,0.0745524811805526,NA,NA,NA,7,2.9375,0.0745524811805526,NA,"n111","n110"
86.125,0.0661892164692573,NA,NA,NA,4,1.125,0.0661892164692573,NA,"n114","n111"
85,0,19,0.5,"#BC2B11",1,NA,0,TRUE,"Pvalb Calb1 Sst","n114"
87.25,0.0618722334128823,NA,NA,NA,3,1.25,0.0618722334128823,NA,"n115","n114"
86.5,0.0403122103961157,NA,NA,NA,2,0.5,0.0403122103961157,NA,"n116","n115"
